"filename", "language", "Perl", "HTML", "Markdown", "YAML", "JavaScript", "JSON", "Dart", "C++", "Swift", "Ruby", "XML", "Java Properties", "comment", "blank", "total"
"c:\Flutter Projects\nascon\nascon\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Flutter Projects\nascon\nascon\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Flutter Projects\nascon\nascon\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 2, 30, 161
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\data_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 11, 30, 171
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\event.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 15, 83
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\state.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_event_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_project_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_task_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_team_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Flutter Projects\nascon\nascon\lib\configs\_app_images.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Flutter Projects\nascon\nascon\lib\configs\_app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Flutter Projects\nascon\nascon\lib\configs\_string_ext.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 8, 28
"c:\Flutter Projects\nascon\nascon\lib\configs\configs.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\nascon\nascon\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 12, 4, 69
"c:\Flutter Projects\nascon\nascon\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 6, 55
"c:\Flutter Projects\nascon\nascon\lib\models\chat\chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Flutter Projects\nascon\nascon\lib\models\event\event.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Flutter Projects\nascon\nascon\lib\models\job\job.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Flutter Projects\nascon\nascon\lib\models\project\project.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 6, 65
"c:\Flutter Projects\nascon\nascon\lib\models\task\task.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Flutter Projects\nascon\nascon\lib\models\team\team.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Flutter Projects\nascon\nascon\lib\models\user\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Flutter Projects\nascon\nascon\lib\providers\modal_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Flutter Projects\nascon\nascon\lib\router\router.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Flutter Projects\nascon\nascon\lib\router\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\calendar.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 7, 15, 160
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\services\fetch_users.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 6, 96
